data_dte,Airport Name,CITY,STATE,COUNTRY,Scheduled,Charter,Total
7/1/21,"Phoenix, AZ: Phoenix - Deer Valley",PHOENIX,ARIZONA,USA,0,2,2
7/1/21,"Phoenix, AZ: Phoenix Sky Harbor International",PHOENIX,ARIZONA,USA,109198,3,109201
7/1/21,"Phoenix, AZ: Scottsdale",PHOENIX,ARIZONA,USA,0,15,15
7/1/21,"Tucson, AZ: Tucson International",TUCSON,ARIZONA,USA,0,8,8
7/1/21,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",LITTLE ROCK,ARKANSAS,USA,0,8,8
7/1/21,"Burbank, CA: Bob Hope",BURBANK,CALIFORNIA,USA,0,10,10
7/1/21,"Carlsbad, CA: McClellan-Palomar",CARLSBAD,CALIFORNIA,USA,0,6,6
7/1/21,"Fresno, CA: Fresno Yosemite International",FRESNO,CALIFORNIA,USA,31721,0,31721
7/1/21,"Palm Springs, CA: Palm Springs International",INDIO/PALM SPRINGS,CALIFORNIA,USA,1167,12,1179
7/1/21,"Los Angeles, CA: Los Angeles International",LOS ANGELES,CALIFORNIA,USA,905716,148,905864
7/1/21,"Van Nuys, CA: Van Nuys Airport",LOS ANGELES,CALIFORNIA,USA,0,227,227
7/1/21,"Napa, CA: Napa County",NAPA,CALIFORNIA,USA,0,4,4
7/1/21,"Oakland, CA: Metro Oakland International",OAKLAND,CALIFORNIA,USA,30272,33,30305
7/1/21,"Ontario, CA: Ontario International",ONTARIO,CALIFORNIA,USA,15459,0,15459
7/1/21,"Sacramento, CA: Sacramento International",SACRAMENTO,CALIFORNIA,USA,36090,0,36090
7/1/21,"San Bernardino, CA: San Bernardino International",SAN BERNARDINO,CALIFORNIA,USA,0,16,16
7/1/21,"San Diego, CA: Brown Field Municipal",SAN DIEGO,CALIFORNIA,USA,0,32,32
7/1/21,"San Diego, CA: San Diego International",SAN DIEGO,CALIFORNIA,USA,16824,1009,17833
7/1/21,"San Francisco, CA: San Francisco International",SAN FRANCISCO,CALIFORNIA,USA,368617,166,368783
7/1/21,"San Jose, CA: Norman Y. Mineta San Jose International",SAN JOSE,CALIFORNIA,USA,43272,36,43308
7/1/21,"San Luis Obispo, CA: San Luis County Regional",SAN LUIS OBISPO,CALIFORNIA,USA,0,8,8
7/1/21,"Santa Ana, CA: John Wayne Airport-Orange County",SANTA ANA,CALIFORNIA,USA,15280,23,15303
7/1/21,"Santa Barbara, CA: Santa Barbara Municipal",SANTA BARBARA,CALIFORNIA,USA,0,9,9
7/1/21,"Aspen, CO: Aspen Pitkin County Sardy Field",ASPEN,COLORADO,USA,0,8,8
7/1/21,"Broomfield, CO: Rocky Mountain Metro",BROOMFIELD,COLORADO,USA,0,4,4
7/1/21,"Colorado Springs, CO: City of Colorado Springs Municipal",COLORADO SPRINGS,COLORADO,USA,0,6,6
7/1/21,"Denver, CO: Denver International",DENVER,COLORADO,USA,214000,26,214026
7/1/21,"Montrose/Delta, CO: Montrose Regional",MONTROSE,COLORADO,USA,0,3,3
7/1/21,"New London/Groton, CT: Groton-New London",NEW LONDON,CONNECTICUT,USA,0,1,1
7/1/21,"Waterbury, CT: Waterbury Oxford",WATERBURY,CONNECTICUT,USA,0,5,5
7/1/21,"Washington, DC: Ronald Reagan Washington National",WASHINGTON,D.C.,USA,4025,0,4025
7/1/21,"Washington, DC: Washington Dulles International",WASHINGTON,D.C.,USA,407370,1870,409240
7/1/21,"Boca Raton, FL: Boca Raton Public",BOCA RATON,FLORIDA,USA,0,21,21
7/1/21,"Fort Lauderdale, FL: Fort Lauderdale Executive",FT. LAUDERDALE,FLORIDA,USA,1667,13,1680
7/1/21,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",FT. LAUDERDALE,FLORIDA,USA,428110,836,428946
7/1/21,"Fort Myers, FL: Southwest Florida International",FT. MYERS,FLORIDA,USA,618,0,618
7/1/21,"Jacksonville, FL: Jacksonville International",JACKSONVILLE,FLORIDA,USA,0,20,20
7/1/21,"Miami, FL: Miami International",MIAMI,FLORIDA,USA,1275372,40235,1315607
7/1/21,"Miami, FL: Miami Opa Locka Executive",MIAMI,FLORIDA,USA,0,88,88
7/1/21,"Naples, FL: Naples Municipal",NAPLES,FLORIDA,USA,0,4,4
7/1/21,"Key Largo, FL: Ocean Reef Club",OCEAN REEF CLUB,FLORIDA,USA,0,2,2
7/1/21,"Orlando, FL: Executive",ORLANDO,FLORIDA,USA,0,4,4
7/1/21,"Orlando, FL: Orlando International",ORLANDO,FLORIDA,USA,201580,271,201851
7/1/21,"Stuart, FL: Witham Field",STUART,FLORIDA,USA,0,4,4
7/1/21,"Tampa, FL: Tampa International",TAMPA,FLORIDA,USA,14264,508,14772
7/1/21,"West Palm Beach/Palm Beach, FL: Palm Beach International",WEST PALM BEACH,FLORIDA,USA,1409,42,1451
7/1/21,"Atlanta, GA: Dekalb Peachtree",ATLANTA,GEORGIA,USA,0,16,16
7/1/21,"Atlanta, GA: Fulton County Exec Charlie Brown Field",ATLANTA,GEORGIA,USA,0,5,5
7/1/21,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ATLANTA,GEORGIA,USA,625810,21,625831
