State,CITY,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
VA,Bethlehem,0,0,5,326,5661,7819,8665,9266,9133,9711,9967,12036,16840,19009,22708,23406,24968,24219,25072,26243,29715,35000,35013,37533,51332,58810,66275,64536,68043,68144,74404,79566,79471,83278,81701,85864,87980,80930,81489
VA,Blackstone,0,0,7,177,537,2170,4247,5703,6986,9787,13295,26351,44415,48746,56885,56403,59346,57759,60442,63875,69783,78838,79249,84178,101711,107340,123778,125345,133779,133235,143693,152007,153837,161446,158304,168607,172232,158254,159192
VA,Bowling Green,0,0,12,662,3048,7104,9925,11439,12223,16042,21429,34168,51843,60823,74724,81963,92503,92767,97940,104743,122568,148426,155890,180316,227489,230857,261325,256442,270089,270891,290743,305535,309211,324584,319397,338942,348376,319478,322086
VA,Cambridge,0,0,0,76,342,431,577,1436,2594,4232,4600,6825,10592,13000,16687,16881,17721,17225,18068,19255,23307,28679,28851,32231,43982,49047,55713,54843,58163,58681,63313,66425,66911,70883,69793,73418,75627,70100,70919
VA,Cape Coral,0,0,20,167,279,272,1168,4404,7433,11842,22347,37242,57692,62415,72283,71775,75159,73023,75636,79340,91777,111694,114365,124599,141642,163810,191785,186312,192097,188555,200891,212424,220443,239913,238799,249817,254844,234604,237613
VA,Centreville,0,0,1344,47256,228847,387833,456665,527137,593552,695997,811895,1169255,1625510,1777436,2140040,2217860,2373936,2311243,2404488,2494945,2569940,2801399,2800125,3126728,4539493,4767172,5396544,5353991,5878196,6128491,6716934,7037015,7003845,7386947,7273981,7696199,7898704,7271215,7327568
VA,Charles City,0,0,14,263,686,977,1325,1781,2314,2871,3651,5115,8603,10530,13165,14301,15510,15212,16056,16947,18507,20691,21280,24060,30000,31521,35476,34737,36851,36817,39517,41791,43627,46438,46397,49259,51066,47575,48103
VA,Charlotte,0,0,31,1624,4915,6884,8387,13628,19249,25958,28633,35247,47795,53229,64196,66205,71521,70347,73804,79809,88391,102609,105263,114180,136728,159162,185397,182680,193422,195767,208723,214762,212776,224812,220494,232630,237866,218778,221484
VA,Chester,0,0,181,8216,30184,67869,104522,142052,167866,204800,245805,346321,497441,610952,759792,791198,860096,846065,883529,948018,1051043,1197006,1217863,1351409,1813208,1940522,2215190,2193116,2353966,2396504,2596185,2717005,2706269,2845692,2792913,2938725,3017207,2783802,2805139
VA,Chester Gap,0,0,0,36,314,498,1007,1421,1804,2056,2231,3933,6540,8003,9651,9915,10938,10404,11143,12175,14445,17173,18250,20732,25110,25271,28250,29961,32713,32734,34688,36451,37110,39075,38445,40546,41495,38093,38411
VA,Chincoteague,0,0,28,1965,19109,30047,32581,34590,34866,37146,38155,47234,64478,70158,82374,82774,87914,85997,89456,96165,106530,122852,124536,134322,176433,192037,214535,208582,219115,218611,235500,246075,244092,256106,251414,265755,274153,252637,255517
VA,Clarinda,0,0,1,783,4839,7564,9534,10830,11323,13782,15963,25054,41487,49353,57859,58531,63319,63519,66553,70538,81266,100881,104710,119367,146015,151656,171851,167918,175875,174051,183332,189607,189916,199794,197432,208697,213720,196239,197996
VA,Clifton Forge,0,0,3,113,296,845,1497,1852,2233,2846,7229,16738,30036,32827,39113,38893,41749,41098,43223,44969,52749,63528,65923,74059,88426,96857,108742,101635,104812,103694,112972,118904,120554,128153,125278,131699,136237,126522,127809
VA,Clintwood,0,0,0,0,0,25,286,1504,2491,3705,6297,15080,23495,23830,27518,27397,29062,28811,31218,32865,38949,48456,53897,64826,77626,86831,102410,99478,103094,101985,111173,119106,120544,134141,134890,143225,146573,135644,136970
VA,Cloverdale,0,0,20,640,942,1601,4916,6790,8367,10920,18628,31947,49919,57090,72181,73845,78466,77448,82229,87862,95671,114450,120969,138041,174974,190321,227618,224322,236640,236878,252637,265320,268435,282450,278204,293356,301170,277238,279920
VA,Columbus,0,0,23,435,902,1425,3661,5733,8582,19225,38537,61896,89087,100024,117079,117922,125399,122870,128288,137193,154854,180867,187189,213955,265820,288974,330971,323770,341991,344579,368802,386337,389851,407385,398161,417691,427576,393051,396121
VA,Columbus Junction,0,0,47,833,1881,3012,4484,6414,8210,10996,13686,21870,37993,45521,53673,56198,61205,60199,63639,67513,78193,95706,101603,117766,156384,174348,201120,200047,213135,214142,230061,241801,244900,256152,251131,263776,270051,248610,250432
VA,Courtland,0,0,5,1007,4196,4600,5966,9164,15860,26676,28696,33028,47346,50239,58270,58218,61267,59564,61927,63255,65144,72876,72519,77322,88578,90622,101493,100727,107310,108251,116252,123702,122969,128956,126619,133226,135693,124874,126081
VA,Culpeper,0,0,22,1419,12566,23329,27136,32081,34918,39985,53529,80730,105918,110513,129566,132989,143655,141030,147329,154192,169712,195156,201852,228756,297327,315130,355800,341626,356929,354237,378637,395799,395075,416208,407988,429877,437445,400996,404420
VA,Dale City,0,0,527,20239,110971,197377,248910,306071,353205,417354,484595,676249,947882,1054434,1259443,1304281,1398562,1368477,1427211,1478825,1524133,1674061,1684838,1863490,2541843,2600250,2914488,2861277,3054328,3108109,3350998,3494619,3482732,3647346,3569796,3763389,3860312,3560353,3588324
VA,Davenport,0,0,0,95,217,237,713,3500,5237,8545,18597,31663,42800,43358,50788,52855,56917,55856,58548,63469,74157,92467,99027,111925,132579,151120,176694,172333,181298,178554,189962,200473,204549,215685,212584,224706,229973,212729,215761
